"geoid","county","state","race","estimate","ethnicity"
"47189","Wilson County","Tennessee","white",NA,"nonHisp"
"47189","Wilson County","Tennessee","afam",NA,"nonHisp"
"47189","Wilson County","Tennessee","natv",NA,"nonHisp"
"47189","Wilson County","Tennessee","asam",NA,"nonHisp"
"47189","Wilson County","Tennessee","paci",NA,"nonHisp"
"47189","Wilson County","Tennessee","othr",NA,"nonHisp"
"47189","Wilson County","Tennessee","mixd",NA,"nonHisp"
"47189","Wilson County","Tennessee","total",NA,"Hisp"
"47189","Wilson County","Tennessee","white",NA,"Hisp"
"47189","Wilson County","Tennessee","afam",NA,"Hisp"
"47189","Wilson County","Tennessee","natv",NA,"Hisp"
"47189","Wilson County","Tennessee","asam",NA,"Hisp"
"47189","Wilson County","Tennessee","paci",NA,"Hisp"
"47189","Wilson County","Tennessee","othr",NA,"Hisp"
"47189","Wilson County","Tennessee","mixd",NA,"Hisp"
