"geoid","county","state","gender","edulevel","estimate"
"47125","Montgomery County","Tennessee","male","total",62441
"47125","Montgomery County","Tennessee","male","noschool",403
"47125","Montgomery County","Tennessee","male","hsorequi",16637
"47125","Montgomery County","Tennessee","male","somecollege",13480
"47125","Montgomery County","Tennessee","male","associate",8128
"47125","Montgomery County","Tennessee","male","bachelor",11001
"47125","Montgomery County","Tennessee","male","master",4703
"47125","Montgomery County","Tennessee","male","profschool",434
"47125","Montgomery County","Tennessee","male","doctor",806
"47125","Montgomery County","Tennessee","female","total",67036
"47125","Montgomery County","Tennessee","female","noschool",397
"47125","Montgomery County","Tennessee","female","hsorequi",18773
"47125","Montgomery County","Tennessee","female","somecollege",8616
"47125","Montgomery County","Tennessee","female","associate",8769
"47125","Montgomery County","Tennessee","female","bachelor",13751
"47125","Montgomery County","Tennessee","female","master",7024
"47125","Montgomery County","Tennessee","female","profschool",1199
"47125","Montgomery County","Tennessee","female","doctor",1027
"47141","Putnam County","Tennessee","all","total",52987
"47141","Putnam County","Tennessee","male","total",25407
"47141","Putnam County","Tennessee","male","noschool",533
"47141","Putnam County","Tennessee","male","hsorequi",9208
"47141","Putnam County","Tennessee","male","somecollege",4003
"47141","Putnam County","Tennessee","male","associate",1313
"47141","Putnam County","Tennessee","male","bachelor",3990
"47141","Putnam County","Tennessee","male","master",1666
"47141","Putnam County","Tennessee","male","profschool",277
"47141","Putnam County","Tennessee","male","doctor",634
"47141","Putnam County","Tennessee","female","total",27580
"47141","Putnam County","Tennessee","female","noschool",646
"47141","Putnam County","Tennessee","female","hsorequi",8058
"47141","Putnam County","Tennessee","female","somecollege",3957
"47141","Putnam County","Tennessee","female","associate",1801
"47141","Putnam County","Tennessee","female","bachelor",6026
"47141","Putnam County","Tennessee","female","master",1851
"47141","Putnam County","Tennessee","female","profschool",41
"47141","Putnam County","Tennessee","female","doctor",541
"47147","Robertson County","Tennessee","all","total",49804
"47147","Robertson County","Tennessee","male","total",24161
"47147","Robertson County","Tennessee","male","noschool",396
"47147","Robertson County","Tennessee","male","hsorequi",8475
"47147","Robertson County","Tennessee","male","somecollege",3787
"47147","Robertson County","Tennessee","male","associate",1075
"47147","Robertson County","Tennessee","male","bachelor",3726
"47147","Robertson County","Tennessee","male","master",1030
"47147","Robertson County","Tennessee","male","profschool",188
"47147","Robertson County","Tennessee","male","doctor",86
"47147","Robertson County","Tennessee","female","total",25643
"47147","Robertson County","Tennessee","female","noschool",236
"47147","Robertson County","Tennessee","female","hsorequi",9473
"47147","Robertson County","Tennessee","female","somecollege",3026
"47147","Robertson County","Tennessee","female","associate",1714
"47147","Robertson County","Tennessee","female","bachelor",4323
"47147","Robertson County","Tennessee","female","master",739
"47147","Robertson County","Tennessee","female","profschool",230
