"geoid","county","state","gender","edulevel","race","estimate"
"47011","Bradley County","Tennessee","male","bachelor","hawpac",NA
"47011","Bradley County","Tennessee","male","gradprof","hawpac",NA
"47011","Bradley County","Tennessee","female","total","hawpac",NA
"47011","Bradley County","Tennessee","female","hs","hawpac",NA
"47011","Bradley County","Tennessee","female","somecollege","hawpac",NA
"47011","Bradley County","Tennessee","female","associate","hawpac",NA
"47011","Bradley County","Tennessee","female","bachelor","hawpac",NA
"47011","Bradley County","Tennessee","female","gradprof","hawpac",NA
"47011","Bradley County","Tennessee","all","total","others",NA
"47011","Bradley County","Tennessee","male","total","others",NA
"47011","Bradley County","Tennessee","male","hs","others",NA
"47011","Bradley County","Tennessee","male","somecollege","others",NA
"47011","Bradley County","Tennessee","male","associate","others",NA
"47011","Bradley County","Tennessee","male","bachelor","others",NA
"47011","Bradley County","Tennessee","male","gradprof","others",NA
"47011","Bradley County","Tennessee","female","total","others",NA
"47011","Bradley County","Tennessee","female","hs","others",NA
"47011","Bradley County","Tennessee","female","somecollege","others",NA
"47011","Bradley County","Tennessee","female","associate","others",NA
"47011","Bradley County","Tennessee","female","bachelor","others",NA
"47011","Bradley County","Tennessee","female","gradprof","others",NA
"47011","Bradley County","Tennessee","all","total","twoormore",NA
"47011","Bradley County","Tennessee","male","total","twoormore",NA
"47011","Bradley County","Tennessee","male","hs","twoormore",NA
"47011","Bradley County","Tennessee","male","somecollege","twoormore",NA
"47011","Bradley County","Tennessee","male","associate","twoormore",NA
"47011","Bradley County","Tennessee","male","bachelor","twoormore",NA
"47011","Bradley County","Tennessee","male","gradprof","twoormore",NA
"47011","Bradley County","Tennessee","female","total","twoormore",NA
"47011","Bradley County","Tennessee","female","hs","twoormore",NA
"47011","Bradley County","Tennessee","female","somecollege","twoormore",NA
"47011","Bradley County","Tennessee","female","associate","twoormore",NA
"47011","Bradley County","Tennessee","female","bachelor","twoormore",NA
"47011","Bradley County","Tennessee","female","gradprof","twoormore",NA
"47011","Bradley County","Tennessee","all","total","angloexcl",65600
"47011","Bradley County","Tennessee","male","total","angloexcl",31026
"47011","Bradley County","Tennessee","male","hs","angloexcl",8850
"47011","Bradley County","Tennessee","male","somecollege","angloexcl",6391
"47011","Bradley County","Tennessee","male","associate","angloexcl",2032
"47011","Bradley County","Tennessee","male","bachelor","angloexcl",4935
"47011","Bradley County","Tennessee","male","gradprof","angloexcl",1813
"47011","Bradley County","Tennessee","female","total","angloexcl",34574
"47011","Bradley County","Tennessee","female","hs","angloexcl",7631
"47011","Bradley County","Tennessee","female","somecollege","angloexcl",7505
"47011","Bradley County","Tennessee","female","associate","angloexcl",2852
"47011","Bradley County","Tennessee","female","bachelor","angloexcl",6259
"47011","Bradley County","Tennessee","female","gradprof","angloexcl",2688
"47011","Bradley County","Tennessee","all","total","hispanic",NA
"47011","Bradley County","Tennessee","male","total","hispanic",NA
"47011","Bradley County","Tennessee","male","hs","hispanic",NA
"47011","Bradley County","Tennessee","male","somecollege","hispanic",NA
"47011","Bradley County","Tennessee","male","associate","hispanic",NA
"47011","Bradley County","Tennessee","male","bachelor","hispanic",NA
"47011","Bradley County","Tennessee","male","gradprof","hispanic",NA
"47011","Bradley County","Tennessee","female","total","hispanic",NA
"47011","Bradley County","Tennessee","female","hs","hispanic",NA
"47011","Bradley County","Tennessee","female","somecollege","hispanic",NA
"47011","Bradley County","Tennessee","female","associate","hispanic",NA
"47011","Bradley County","Tennessee","female","bachelor","hispanic",NA
"47011","Bradley County","Tennessee","female","gradprof","hispanic",NA
"47037","Davidson County","Tennessee","all","total","anglo",323611
"47037","Davidson County","Tennessee","male","total","anglo",156814
"47037","Davidson County","Tennessee","male","hs","anglo",24441
"47037","Davidson County","Tennessee","male","somecollege","anglo",24810
"47037","Davidson County","Tennessee","male","associate","anglo",7608
"47037","Davidson County","Tennessee","male","bachelor","anglo",52298
"47037","Davidson County","Tennessee","male","gradprof","anglo",26269
"47037","Davidson County","Tennessee","female","total","anglo",166797
"47037","Davidson County","Tennessee","female","hs","anglo",25211
"47037","Davidson County","Tennessee","female","somecollege","anglo",25177
"47037","Davidson County","Tennessee","female","associate","anglo",9306
"47037","Davidson County","Tennessee","female","bachelor","anglo",57828
"47037","Davidson County","Tennessee","female","gradprof","anglo",32279
"47037","Davidson County","Tennessee","all","total","aframer",120156
"47037","Davidson County","Tennessee","male","total","aframer",52827
"47037","Davidson County","Tennessee","male","hs","aframer",10673
"47037","Davidson County","Tennessee","male","somecollege","aframer",14205
"47037","Davidson County","Tennessee","male","associate","aframer",4928
"47037","Davidson County","Tennessee","male","bachelor","aframer",7632
"47037","Davidson County","Tennessee","male","gradprof","aframer",5250
"47037","Davidson County","Tennessee","female","total","aframer",67329
"47037","Davidson County","Tennessee","female","hs","aframer",14652
"47037","Davidson County","Tennessee","female","somecollege","aframer",15393
"47037","Davidson County","Tennessee","female","associate","aframer",6021
"47037","Davidson County","Tennessee","female","bachelor","aframer",11966
"47037","Davidson County","Tennessee","female","gradprof","aframer",10683
"47037","Davidson County","Tennessee","all","total","native",NA
"47037","Davidson County","Tennessee","male","total","native",NA
"47037","Davidson County","Tennessee","male","hs","native",NA
"47037","Davidson County","Tennessee","male","somecollege","native",NA
"47037","Davidson County","Tennessee","male","associate","native",NA
"47037","Davidson County","Tennessee","male","bachelor","native",NA
"47037","Davidson County","Tennessee","male","gradprof","native",NA
"47037","Davidson County","Tennessee","female","total","native",NA
"47037","Davidson County","Tennessee","female","hs","native",NA
"47037","Davidson County","Tennessee","female","somecollege","native",NA
"47037","Davidson County","Tennessee","female","associate","native",NA
"47037","Davidson County","Tennessee","female","bachelor","native",NA
"47037","Davidson County","Tennessee","female","gradprof","native",NA
"47037","Davidson County","Tennessee","all","total","asian",18256
"47037","Davidson County","Tennessee","male","total","asian",8564
"47037","Davidson County","Tennessee","male","hs","asian",587
"47037","Davidson County","Tennessee","male","somecollege","asian",1125
"47037","Davidson County","Tennessee","male","associate","asian",354
"47037","Davidson County","Tennessee","male","bachelor","asian",839
"47037","Davidson County","Tennessee","male","gradprof","asian",3667
"47037","Davidson County","Tennessee","female","total","asian",9692
"47037","Davidson County","Tennessee","female","hs","asian",1187
"47037","Davidson County","Tennessee","female","somecollege","asian",1090
"47037","Davidson County","Tennessee","female","associate","asian",305
"47037","Davidson County","Tennessee","female","bachelor","asian",2374
"47037","Davidson County","Tennessee","female","gradprof","asian",3314
"47037","Davidson County","Tennessee","all","total","hawpac",NA
"47037","Davidson County","Tennessee","male","total","hawpac",NA
"47037","Davidson County","Tennessee","male","hs","hawpac",NA
"47037","Davidson County","Tennessee","male","somecollege","hawpac",NA
"47037","Davidson County","Tennessee","male","associate","hawpac",NA
"47037","Davidson County","Tennessee","male","bachelor","hawpac",NA
"47037","Davidson County","Tennessee","male","gradprof","hawpac",NA
"47037","Davidson County","Tennessee","female","total","hawpac",NA
"47037","Davidson County","Tennessee","female","hs","hawpac",NA
"47037","Davidson County","Tennessee","female","somecollege","hawpac",NA
"47037","Davidson County","Tennessee","female","associate","hawpac",NA
"47037","Davidson County","Tennessee","female","bachelor","hawpac",NA
"47037","Davidson County","Tennessee","female","gradprof","hawpac",NA
"47037","Davidson County","Tennessee","all","total","others",12108
"47037","Davidson County","Tennessee","male","total","others",6529
"47037","Davidson County","Tennessee","male","hs","others",1327
"47037","Davidson County","Tennessee","male","somecollege","others",800
"47037","Davidson County","Tennessee","male","associate","others",149
"47037","Davidson County","Tennessee","male","bachelor","others",1202
"47037","Davidson County","Tennessee","male","gradprof","others",172
