"geoid","county","state","language","estimate"
"47113","Madison County","Tennessee","tagalog",NA
"47113","Madison County","Tennessee","tgEngless",NA
"47113","Madison County","Tennessee","othrPaci",NA
"47113","Madison County","Tennessee","paciEngless",NA
"47113","Madison County","Tennessee","arabic",NA
"47113","Madison County","Tennessee","arEngless",NA
"47113","Madison County","Tennessee","othrUnspec",NA
"47113","Madison County","Tennessee","unspecEngless",NA
"47119","Maury County","Tennessee","total_pop",96387
"47119","Maury County","Tennessee","langTotal",NA
"47119","Maury County","Tennessee","english",NA
"47119","Maury County","Tennessee","spanish",NA
"47119","Maury County","Tennessee","spEngless",NA
"47119","Maury County","Tennessee","frHaitcaj",NA
"47119","Maury County","Tennessee","frEngless",NA
"47119","Maury County","Tennessee","germanic",NA
"47119","Maury County","Tennessee","gerEngless",NA
"47119","Maury County","Tennessee","rusPolslav",NA
"47119","Maury County","Tennessee","rusEngless",NA
"47119","Maury County","Tennessee","othrIndoeuro",NA
"47119","Maury County","Tennessee","indeuroEngless",NA
"47119","Maury County","Tennessee","korean",NA
"47119","Maury County","Tennessee","korEngless",NA
"47119","Maury County","Tennessee","chinese",NA
"47119","Maury County","Tennessee","chEngless",NA
"47119","Maury County","Tennessee","vietnamese",NA
"47119","Maury County","Tennessee","vietEngless",NA
"47119","Maury County","Tennessee","tagalog",NA
"47119","Maury County","Tennessee","tgEngless",NA
"47119","Maury County","Tennessee","othrPaci",NA
"47119","Maury County","Tennessee","paciEngless",NA
"47119","Maury County","Tennessee","arabic",NA
"47119","Maury County","Tennessee","arEngless",NA
"47119","Maury County","Tennessee","othrUnspec",NA
"47119","Maury County","Tennessee","unspecEngless",NA
"47125","Montgomery County","Tennessee","total_pop",208993
"47125","Montgomery County","Tennessee","langTotal",NA
"47125","Montgomery County","Tennessee","english",NA
"47125","Montgomery County","Tennessee","spanish",NA
"47125","Montgomery County","Tennessee","spEngless",NA
"47125","Montgomery County","Tennessee","frHaitcaj",NA
"47125","Montgomery County","Tennessee","frEngless",NA
"47125","Montgomery County","Tennessee","germanic",NA
"47125","Montgomery County","Tennessee","gerEngless",NA
"47125","Montgomery County","Tennessee","rusPolslav",NA
"47125","Montgomery County","Tennessee","rusEngless",NA
"47125","Montgomery County","Tennessee","othrIndoeuro",NA
"47125","Montgomery County","Tennessee","indeuroEngless",NA
"47125","Montgomery County","Tennessee","korean",NA
"47125","Montgomery County","Tennessee","korEngless",NA
"47125","Montgomery County","Tennessee","chinese",NA
"47125","Montgomery County","Tennessee","chEngless",NA
"47125","Montgomery County","Tennessee","vietnamese",NA
"47125","Montgomery County","Tennessee","vietEngless",NA
"47125","Montgomery County","Tennessee","tagalog",NA
"47125","Montgomery County","Tennessee","tgEngless",NA
"47125","Montgomery County","Tennessee","othrPaci",NA
"47125","Montgomery County","Tennessee","paciEngless",NA
"47125","Montgomery County","Tennessee","arabic",NA
"47125","Montgomery County","Tennessee","arEngless",NA
"47125","Montgomery County","Tennessee","othrUnspec",NA
"47125","Montgomery County","Tennessee","unspecEngless",NA
"47141","Putnam County","Tennessee","total_pop",80245
"47141","Putnam County","Tennessee","langTotal",NA
"47141","Putnam County","Tennessee","english",NA
"47141","Putnam County","Tennessee","spanish",NA
"47141","Putnam County","Tennessee","spEngless",NA
"47141","Putnam County","Tennessee","frHaitcaj",NA
"47141","Putnam County","Tennessee","frEngless",NA
"47141","Putnam County","Tennessee","germanic",NA
"47141","Putnam County","Tennessee","gerEngless",NA
"47141","Putnam County","Tennessee","rusPolslav",NA
"47141","Putnam County","Tennessee","rusEngless",NA
"47141","Putnam County","Tennessee","othrIndoeuro",NA
"47141","Putnam County","Tennessee","indeuroEngless",NA
"47141","Putnam County","Tennessee","korean",NA
"47141","Putnam County","Tennessee","korEngless",NA
"47141","Putnam County","Tennessee","chinese",NA
"47141","Putnam County","Tennessee","chEngless",NA
"47141","Putnam County","Tennessee","vietnamese",NA
"47141","Putnam County","Tennessee","vietEngless",NA
"47141","Putnam County","Tennessee","tagalog",NA
"47141","Putnam County","Tennessee","tgEngless",NA
"47141","Putnam County","Tennessee","othrPaci",NA
"47141","Putnam County","Tennessee","paciEngless",NA
"47141","Putnam County","Tennessee","arabic",NA
"47141","Putnam County","Tennessee","arEngless",NA
"47141","Putnam County","Tennessee","othrUnspec",NA
"47141","Putnam County","Tennessee","unspecEngless",NA
"47147","Robertson County","Tennessee","total_pop",71813
"47147","Robertson County","Tennessee","langTotal",NA
"47147","Robertson County","Tennessee","english",NA
"47147","Robertson County","Tennessee","spanish",NA
"47147","Robertson County","Tennessee","spEngless",NA
"47147","Robertson County","Tennessee","frHaitcaj",NA
"47147","Robertson County","Tennessee","frEngless",NA
"47147","Robertson County","Tennessee","germanic",NA
"47147","Robertson County","Tennessee","gerEngless",NA
"47147","Robertson County","Tennessee","rusPolslav",NA
"47147","Robertson County","Tennessee","rusEngless",NA
"47147","Robertson County","Tennessee","othrIndoeuro",NA
"47147","Robertson County","Tennessee","indeuroEngless",NA
"47147","Robertson County","Tennessee","korean",NA
"47147","Robertson County","Tennessee","korEngless",NA
"47147","Robertson County","Tennessee","chinese",NA
"47147","Robertson County","Tennessee","chEngless",NA
"47147","Robertson County","Tennessee","vietnamese",NA
"47147","Robertson County","Tennessee","vietEngless",NA
"47147","Robertson County","Tennessee","tagalog",NA
"47147","Robertson County","Tennessee","tgEngless",NA
"47147","Robertson County","Tennessee","othrPaci",NA
"47147","Robertson County","Tennessee","paciEngless",NA
"47147","Robertson County","Tennessee","arabic",NA
"47147","Robertson County","Tennessee","arEngless",NA
"47147","Robertson County","Tennessee","othrUnspec",NA
"47147","Robertson County","Tennessee","unspecEngless",NA
"47149","Rutherford County","Tennessee","total_pop",332285
"47149","Rutherford County","Tennessee","langTotal",NA
"47149","Rutherford County","Tennessee","english",NA
"47149","Rutherford County","Tennessee","spanish",NA
"47149","Rutherford County","Tennessee","spEngless",NA
"47149","Rutherford County","Tennessee","frHaitcaj",NA
"47149","Rutherford County","Tennessee","frEngless",NA
"47149","Rutherford County","Tennessee","germanic",NA
"47149","Rutherford County","Tennessee","gerEngless",NA
"47149","Rutherford County","Tennessee","rusPolslav",NA
"47149","Rutherford County","Tennessee","rusEngless",NA
"47149","Rutherford County","Tennessee","othrIndoeuro",NA
"47149","Rutherford County","Tennessee","indeuroEngless",NA
"47149","Rutherford County","Tennessee","korean",NA
"47149","Rutherford County","Tennessee","korEngless",NA
"47149","Rutherford County","Tennessee","chinese",NA
"47149","Rutherford County","Tennessee","chEngless",NA
"47149","Rutherford County","Tennessee","vietnamese",NA
"47149","Rutherford County","Tennessee","vietEngless",NA
"47149","Rutherford County","Tennessee","tagalog",NA
"47149","Rutherford County","Tennessee","tgEngless",NA
"47149","Rutherford County","Tennessee","othrPaci",NA
"47149","Rutherford County","Tennessee","paciEngless",NA
"47149","Rutherford County","Tennessee","arabic",NA
"47149","Rutherford County","Tennessee","arEngless",NA
"47149","Rutherford County","Tennessee","othrUnspec",NA
"47149","Rutherford County","Tennessee","unspecEngless",NA
"47155","Sevier County","Tennessee","total_pop",98250
"47155","Sevier County","Tennessee","langTotal",NA
"47155","Sevier County","Tennessee","english",NA
"47155","Sevier County","Tennessee","spanish",NA
"47155","Sevier County","Tennessee","spEngless",NA
"47155","Sevier County","Tennessee","frHaitcaj",NA
"47155","Sevier County","Tennessee","frEngless",NA
"47155","Sevier County","Tennessee","germanic",NA
"47155","Sevier County","Tennessee","gerEngless",NA
"47155","Sevier County","Tennessee","rusPolslav",NA
"47155","Sevier County","Tennessee","rusEngless",NA
"47155","Sevier County","Tennessee","othrIndoeuro",NA
"47155","Sevier County","Tennessee","indeuroEngless",NA
"47155","Sevier County","Tennessee","korean",NA
"47155","Sevier County","Tennessee","korEngless",NA
"47155","Sevier County","Tennessee","chinese",NA
"47155","Sevier County","Tennessee","chEngless",NA
